CMDLINE 54532
MEM 713.199219 1714044996.4237
MEM 713.199219 1714044996.5314
MEM 713.199219 1714044996.6401
MEM 713.199219 1714044996.7493
MEM 713.199219 1714044996.8581
MEM 713.199219 1714044996.9674
MEM 713.199219 1714044997.0758
MEM 713.199219 1714044997.1854
MEM 713.199219 1714044997.2926
MEM 713.199219 1714044997.4006
MEM 713.199219 1714044997.5090
MEM 713.199219 1714044997.6178
MEM 713.199219 1714044997.7268
MEM 713.199219 1714044997.8383
MEM 713.199219 1714044997.9469
MEM 713.199219 1714044998.0564
MEM 713.199219 1714044998.1647
MEM 713.199219 1714044998.2751
MEM 713.199219 1714044998.3845
MEM 713.199219 1714044998.4922
MEM 713.199219 1714044998.6011
MEM 713.199219 1714044998.7114
MEM 713.199219 1714044998.8208
MEM 713.199219 1714044998.9305
MEM 713.199219 1714044999.0399
MEM 713.199219 1714044999.1490
MEM 713.199219 1714044999.2570
MEM 713.199219 1714044999.3658
MEM 713.199219 1714044999.4768
MEM 713.199219 1714044999.5867
MEM 713.199219 1714044999.6957
MEM 713.199219 1714044999.8035
MEM 713.199219 1714044999.9123
MEM 713.199219 1714045000.0215
MEM 713.199219 1714045000.1298
MEM 713.199219 1714045000.2409
MEM 713.199219 1714045000.3503
MEM 713.199219 1714045000.4596
MEM 713.199219 1714045000.5679
MEM 713.199219 1714045000.6788
MEM 713.199219 1714045000.7860
MEM 713.199219 1714045000.8959
MEM 713.199219 1714045001.0058
MEM 713.199219 1714045001.1129
MEM 713.199219 1714045001.2221
MEM 713.199219 1714045001.3308
MEM 713.199219 1714045001.4393
MEM 713.199219 1714045001.5474
MEM 713.199219 1714045001.6572
MEM 713.199219 1714045001.7642
MEM 713.199219 1714045001.8756
MEM 713.199219 1714045001.9825
MEM 713.199219 1714045002.0921
MEM 713.199219 1714045002.2008
MEM 713.199219 1714045002.3106
MEM 713.199219 1714045002.4195
MEM 713.199219 1714045002.5276
MEM 713.199219 1714045002.6360
MEM 713.199219 1714045002.7450
MEM 713.199219 1714045002.8538
MEM 713.199219 1714045002.9646
MEM 713.199219 1714045003.0746
MEM 713.199219 1714045003.1839
MEM 713.199219 1714045003.2917
MEM 713.199219 1714045003.4011
MEM 713.199219 1714045003.5118
MEM 713.199219 1714045003.6208
MEM 713.199219 1714045003.7284
MEM 713.199219 1714045003.8368
MEM 713.199219 1714045003.9436
MEM 713.199219 1714045004.0530
MEM 713.199219 1714045004.1621
MEM 713.199219 1714045004.2709
MEM 713.199219 1714045004.3795
MEM 713.199219 1714045004.4889
MEM 713.199219 1714045004.5978
MEM 713.199219 1714045004.7070
MEM 713.199219 1714045004.8150
MEM 713.199219 1714045004.9233
MEM 713.199219 1714045005.0322
MEM 713.199219 1714045005.1421
MEM 713.199219 1714045005.2497
MEM 713.199219 1714045005.3578
MEM 713.199219 1714045005.4668
MEM 713.199219 1714045005.5771
MEM 713.199219 1714045005.6852
MEM 713.199219 1714045005.7939
MEM 713.199219 1714045005.9042
MEM 713.199219 1714045006.0154
MEM 713.199219 1714045006.1248
MEM 713.199219 1714045006.2332
MEM 713.199219 1714045006.3425
MEM 713.199219 1714045006.4525
MEM 713.199219 1714045006.5609
MEM 713.199219 1714045006.6707
MEM 713.199219 1714045006.7791
MEM 713.199219 1714045006.8870
MEM 713.199219 1714045006.9960
MEM 713.199219 1714045007.1057
MEM 713.199219 1714045007.2143
MEM 713.199219 1714045007.3213
MEM 713.199219 1714045007.4297
MEM 713.199219 1714045007.5380
MEM 713.199219 1714045007.6471
MEM 713.199219 1714045007.7562
MEM 713.199219 1714045007.8643
MEM 713.199219 1714045007.9727
MEM 713.199219 1714045008.0804
MEM 713.199219 1714045008.1890
MEM 713.199219 1714045008.2995
MEM 713.199219 1714045008.4059
MEM 713.199219 1714045008.5145
MEM 713.199219 1714045008.6234
MEM 713.199219 1714045008.7317
MEM 713.199219 1714045008.8402
MEM 713.199219 1714045008.9505
MEM 713.199219 1714045009.0584
MEM 713.199219 1714045009.1669
MEM 713.199219 1714045009.2771
MEM 713.199219 1714045009.3849
MEM 713.183594 1714045009.4947
MEM 713.183594 1714045009.6027
MEM 713.183594 1714045009.7130
MEM 713.183594 1714045009.8231
MEM 713.183594 1714045009.9304
MEM 713.183594 1714045010.0402
MEM 713.183594 1714045010.1491
MEM 713.183594 1714045010.2579
MEM 713.183594 1714045010.3679
MEM 713.183594 1714045010.4761
MEM 713.183594 1714045010.5860
MEM 713.195312 1714045010.6952
MEM 713.253906 1714045010.8036
MEM 713.253906 1714045010.9130
MEM 713.253906 1714045011.0221
MEM 713.269531 1714045011.1284
MEM 713.269531 1714045011.2379
MEM 713.269531 1714045011.3480
MEM 713.269531 1714045011.4558
MEM 713.269531 1714045011.5632
MEM 713.269531 1714045011.6725
MEM 713.269531 1714045011.7795
MEM 713.269531 1714045011.8900
MEM 713.269531 1714045011.9981
MEM 713.269531 1714045012.1088
MEM 713.269531 1714045012.2183
MEM 713.269531 1714045012.3258
MEM 713.269531 1714045012.4352
MEM 713.269531 1714045012.5432
MEM 713.269531 1714045012.6525
MEM 713.269531 1714045012.7597
MEM 713.269531 1714045012.8672
MEM 713.269531 1714045012.9758
MEM 713.269531 1714045013.0851
MEM 713.269531 1714045013.1929
MEM 713.269531 1714045013.3017
MEM 713.269531 1714045013.4114
MEM 713.269531 1714045013.5194
MEM 713.269531 1714045013.6282
MEM 713.269531 1714045013.7359
MEM 713.269531 1714045013.8459
MEM 713.269531 1714045013.9551
MEM 713.269531 1714045014.0638
MEM 713.269531 1714045014.1714
MEM 713.269531 1714045014.2809
MEM 713.269531 1714045014.3903
MEM 713.269531 1714045014.4999
MEM 713.269531 1714045014.6092
MEM 713.269531 1714045014.7173
MEM 713.269531 1714045014.8269
MEM 713.269531 1714045014.9343
MEM 713.269531 1714045015.0439
MEM 713.269531 1714045015.1529
MEM 713.269531 1714045015.2635
MEM 713.269531 1714045015.3728
MEM 713.269531 1714045015.4792
MEM 713.269531 1714045015.5886
MEM 713.269531 1714045015.6959
MEM 713.269531 1714045015.8045
MEM 713.269531 1714045015.9138
MEM 713.269531 1714045016.0210
MEM 713.269531 1714045016.1287
MEM 713.269531 1714045016.2362
MEM 713.269531 1714045016.3459
MEM 713.269531 1714045016.4551
MEM 713.269531 1714045016.5645
MEM 713.269531 1714045016.6746
MEM 713.269531 1714045016.7798
MEM 713.269531 1714045016.8887
MEM 713.269531 1714045016.9990
MEM 713.269531 1714045017.1079
MEM 713.269531 1714045017.2180
MEM 713.269531 1714045017.3253
MEM 713.269531 1714045017.4353
MEM 713.269531 1714045017.5448
MEM 713.269531 1714045017.6523
MEM 713.269531 1714045017.7606
MEM 713.269531 1714045017.8709
MEM 713.269531 1714045017.9796
MEM 713.269531 1714045018.0895
MEM 713.269531 1714045018.1982
MEM 713.269531 1714045018.3072
MEM 713.269531 1714045018.4161
MEM 713.269531 1714045018.5243
MEM 713.269531 1714045018.6334
MEM 713.269531 1714045018.7403
MEM 713.269531 1714045018.8511
MEM 713.269531 1714045018.9580
MEM 713.269531 1714045019.0677
MEM 713.269531 1714045019.1769
MEM 713.269531 1714045019.2852
MEM 713.269531 1714045019.3945
MEM 713.269531 1714045019.5048
MEM 713.269531 1714045019.6136
MEM 713.269531 1714045019.7232
MEM 713.269531 1714045019.8316
MEM 713.269531 1714045019.9405
MEM 713.269531 1714045020.0487
MEM 713.269531 1714045020.1582
MEM 713.269531 1714045020.2660
MEM 713.269531 1714045020.3745
MEM 713.269531 1714045020.4812
MEM 713.269531 1714045020.5894
MEM 713.269531 1714045020.6984
MEM 713.269531 1714045020.8078
MEM 713.269531 1714045020.9162
MEM 713.269531 1714045021.0256
MEM 713.269531 1714045021.1355
MEM 713.269531 1714045021.2436
MEM 713.269531 1714045021.3530
MEM 713.269531 1714045021.4626
MEM 713.269531 1714045021.5702
MEM 713.269531 1714045021.6779
MEM 713.269531 1714045021.7870
MEM 713.269531 1714045021.8940
MEM 713.269531 1714045022.0034
MEM 713.269531 1714045022.1112
MEM 713.269531 1714045022.2229
MEM 713.269531 1714045022.3323
MEM 713.269531 1714045022.4413
MEM 713.269531 1714045022.5488
MEM 713.269531 1714045022.6569
MEM 713.269531 1714045022.7650
MEM 713.269531 1714045022.8742
MEM 713.269531 1714045022.9828
MEM 713.269531 1714045023.0912
MEM 713.269531 1714045023.2015
MEM 713.269531 1714045023.3105
MEM 713.269531 1714045023.4203
MEM 713.269531 1714045023.5285
MEM 713.269531 1714045023.6303
MEM 713.269531 1714045023.7403
MEM 713.269531 1714045023.8483
MEM 713.269531 1714045023.9572
MEM 713.269531 1714045024.0660
MEM 713.269531 1714045024.1763
MEM 713.269531 1714045024.2838
MEM 713.269531 1714045024.3929
MEM 713.269531 1714045024.5023
MEM 713.269531 1714045024.6111
MEM 713.269531 1714045024.7207
MEM 713.269531 1714045024.8288
MEM 713.269531 1714045024.9394
MEM 713.269531 1714045025.0471
MEM 713.269531 1714045025.1569
MEM 713.269531 1714045025.2651
MEM 713.269531 1714045025.3707
MEM 713.269531 1714045025.4796
MEM 713.269531 1714045025.5890
MEM 713.269531 1714045025.6973
MEM 713.269531 1714045025.8072
MEM 713.269531 1714045025.9149
MEM 713.269531 1714045026.0235
MEM 713.269531 1714045026.1322
MEM 713.269531 1714045026.2410
MEM 713.269531 1714045026.3502
MEM 713.269531 1714045026.4590
MEM 713.269531 1714045026.5659
MEM 713.269531 1714045026.6746
MEM 713.269531 1714045026.7832
MEM 713.269531 1714045026.8915
MEM 713.269531 1714045027.0009
MEM 713.269531 1714045027.1089
MEM 713.269531 1714045027.2187
MEM 713.269531 1714045027.3270
MEM 713.269531 1714045027.4352
MEM 713.269531 1714045027.5443
MEM 713.269531 1714045027.6522
MEM 713.269531 1714045027.7605
MEM 713.269531 1714045027.8677
MEM 713.269531 1714045027.9750
MEM 713.269531 1714045028.0842
MEM 713.269531 1714045028.1924
MEM 713.269531 1714045028.3020
MEM 713.269531 1714045028.4089
MEM 713.269531 1714045028.5180
MEM 713.269531 1714045028.6281
MEM 713.269531 1714045028.7365
MEM 713.269531 1714045028.8440
MEM 713.269531 1714045028.9516
MEM 713.269531 1714045029.0595
MEM 713.269531 1714045029.1679
MEM 713.269531 1714045029.2759
MEM 713.269531 1714045029.3829
MEM 713.269531 1714045029.4924
MEM 713.269531 1714045029.6026
MEM 713.269531 1714045029.7093
MEM 713.269531 1714045029.8171
MEM 713.269531 1714045029.9260
MEM 713.269531 1714045030.0355
MEM 713.269531 1714045030.1440
MEM 713.269531 1714045030.2556
MEM 713.269531 1714045030.3622
MEM 713.269531 1714045030.4697
MEM 713.269531 1714045030.5764
MEM 713.269531 1714045030.6839
MEM 713.269531 1714045030.7932
MEM 713.269531 1714045030.9016
MEM 713.269531 1714045031.0104
MEM 713.269531 1714045031.1192
MEM 713.269531 1714045031.2292
MEM 713.269531 1714045031.3390
MEM 713.269531 1714045031.4481
MEM 713.269531 1714045031.5571
MEM 713.269531 1714045031.6665
MEM 713.269531 1714045031.7749
MEM 713.269531 1714045031.8837
MEM 713.269531 1714045031.9936
MEM 713.269531 1714045032.1017
MEM 713.269531 1714045032.2131
MEM 713.269531 1714045032.3230
MEM 713.269531 1714045032.4305
MEM 713.269531 1714045032.5408
MEM 713.269531 1714045032.6533
MEM 713.269531 1714045032.7614
MEM 713.269531 1714045032.8706
MEM 713.269531 1714045032.9804
MEM 713.269531 1714045033.0903
MEM 713.269531 1714045033.1973
MEM 713.269531 1714045033.3052
MEM 713.269531 1714045033.4133
MEM 713.269531 1714045033.5224
MEM 713.269531 1714045033.6284
MEM 713.269531 1714045033.7379
MEM 713.269531 1714045033.8468
MEM 713.269531 1714045033.9553
MEM 713.269531 1714045034.0649
MEM 713.269531 1714045034.1744
MEM 713.269531 1714045034.2895
MEM 713.269531 1714045034.3991
MEM 713.269531 1714045034.5084
MEM 713.269531 1714045034.6180
MEM 713.269531 1714045034.7270
